PHASE,ID,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,LONGDISTANCE,INTERNATIONAL,LOCAL,DROPPED,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,USAGE,RATEPLAN,CHURN
Adult,564,F,M,2,+0067388.00000000,N,+0000053.12000000,+00004.,+00000.,+00091.,1,CC,Budget,Standard,+00096.,3,T
Adult,6,M,M,2,+0029616.00000000,N,+0000049.42666700,+00029.,+00000.,+00045.,0,CH,FreeLocal,Standard,+00075.,2,F
Adult,8,M,M,0,+0019732.80000000,N,+0000050.67333300,+00024.,+00000.,+00022.,0,CC,FreeLocal,Standard,+00047.,3,F
Adult,18,M,M,1,+0075004.50000000,N,+0000064.80000000,+00026.,+00000.,+00032.,0,CC,Budget,Intnl_discount,+00058.,1,F
Adult,22,M,S,1,+0057626.90000000,Y,+0000043.90666700,+00009.,+00000.,+00038.,0,CC,Budget,Standard,+00048.,2,F
Adult,23,M,M,2,+0020078.00000000,N,+0000032.84666700,+00009.,+00000.,+00006.,0,CC,Budget,Intnl_discount,+00015.,4,F
Child,29,M,M,1,+0007545.96000000,Y,+0000016.75333300,+00022.,+00000.,+00178.,0,CC,Budget,Standard,+00200.,3,T
Adult,36,F,S,1,+0017540.70000000,Y,+0000062.78666700,+00022.,+00000.,+00013.,0,Auto,Budget,Standard,+00036.,4,T
Adult,37,F,M,0,+0083891.90000000,Y,+0000061.02000000,+00028.,+00000.,+00045.,0,CH,Budget,Standard,+00074.,4,T
Child,40,F,S,0,+0028589.10000000,N,+0000015.60000000,+00013.,+00000.,+00087.,0,CC,FreeLocal,Standard,+00100.,4,T
Adult,45,M,S,2,+0089459.90000000,N,+0000053.28000000,+00011.,+00001.,+00022.,0,CC,FreeLocal,Standard,+00036.,2,T
Adult,48,F,S,1,+0013576.50000000,N,+0000039.42666700,+00014.,+00000.,+00025.,0,CC,Budget,Standard,+00040.,1,T
Adult,62,F,M,2,+0045287.60000000,Y,+0000029.02666700,+00000.,+00000.,+00002.,0,CC,Budget,Standard,+00002.,3,F
Adult,63,F,M,2,+0059613.10000000,N,+0000034.32000000,+00012.,+00000.,+00163.,0,CC,Budget,Intnl_discount,+00175.,1,T
Adult,71,F,M,2,+0042031.80000000,N,+0000050.75333300,+00020.,+00000.,+00039.,0,CH,Budget,Intnl_discount,+00059.,4,F
